,pairAddress,timestamp,token0Address,token1Address,token0Amount,token1Amount,token0Liquidity,token1Liquidity
20,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640995542,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,102917833.224267,27951.87929204512,0.0002715941291839,3681.964713319172
21,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640995542,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,102917340.983196,27952.013384747766,0.000271596731102,3681.9294398074967
22,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640995551,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,102976875.483562,27935.901810231404,0.0002712832534396,3686.1840431386095
23,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640995551,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,102974763.683196,27936.47299933076,0.0002712943637848,3686.0330824747584
24,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640995562,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,102981559.447832,27934.63552610549,0.000271258618299,3686.518814666246
25,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640995562,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,102981883.043823,27934.54748405433,0.000271256911006,3686.542017643472
26,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640995600,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,103072745.743688,27909.996414245044,0.0002707795956425,3693.040450950416
27,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640995604,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,103023938.295684,27923.25852269608,0.0002710366055173,3689.5385333322015
28,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640995630,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,103023387.106224,27923.40836554461,0.0002710395100556,3689.4989951637535
29,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640995630,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,103023902.089075,27923.26836554461,0.0002710367963096,3689.5359361370247
30,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640995664,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,103043387.106224,27918.004883548776,0.0002709344642831,3690.929474940536
31,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640995698,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,103043312.575837,27918.025137174893,0.0002709348568023,3690.9241276750367
