,type,timestamp,open,high,low,close,volume,quoteVolume,trades,exchangeId,pairAddress,baseAddress,quoteAddress
0,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-01,0.9976443941051916,1.0044879536534177,0.99591282,0.99591282,9553.410646945791,9538.980190926819,26,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xb20bd5d04be54f870d5c0d3ca85d82b34b836405,0x6b175474e89094c44da98b954eedeac495271d0f,0xdac17f958d2ee523a2206206994597c13d831ec7
1,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-02,1.003973659254338,1.0055058310446598,0.9939743747288406,1.00442389432853,39741.83093909561,39820.10008422554,44,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xb20bd5d04be54f870d5c0d3ca85d82b34b836405,0x6b175474e89094c44da98b954eedeac495271d0f,0xdac17f958d2ee523a2206206994597c13d831ec7
2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-03,0.9984210774433028,1.0048149788145868,0.9980524127040886,0.9981901642445709,3885.701214133483,3885.194745237903,19,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xb20bd5d04be54f870d5c0d3ca85d82b34b836405,0x6b175474e89094c44da98b954eedeac495271d0f,0xdac17f958d2ee523a2206206994597c13d831ec7
3,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-04,1.0042187990298328,1.0042187990298328,0.9958570549126228,1.0022919707450484,10502.023247447785,10519.316466298204,24,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xb20bd5d04be54f870d5c0d3ca85d82b34b836405,0x6b175474e89094c44da98b954eedeac495271d0f,0xdac17f958d2ee523a2206206994597c13d831ec7
4,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-05,1.0023700511209201,1.0036329632946164,0.9963660384615384,1.0031614174331536,6166.416819643773,6174.942615929157,23,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xb20bd5d04be54f870d5c0d3ca85d82b34b836405,0x6b175474e89094c44da98b954eedeac495271d0f,0xdac17f958d2ee523a2206206994597c13d831ec7
5,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-06,1.0032758198590297,1.0040645229704155,0.99705817,0.99705817,6452.427054903217,6454.776839827999,21,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xb20bd5d04be54f870d5c0d3ca85d82b34b836405,0x6b175474e89094c44da98b954eedeac495271d0f,0xdac17f958d2ee523a2206206994597c13d831ec7
6,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-07,1.0030395867659525,1.0030395867659525,0.9867399224230048,1.00048441013012,95986.67721372013,95825.98366375016,32,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xb20bd5d04be54f870d5c0d3ca85d82b34b836405,0x6b175474e89094c44da98b954eedeac495271d0f,0xdac17f958d2ee523a2206206994597c13d831ec7
7,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-08,1.0006049527048857,1.002315860002448,0.9946129564668612,1.002315860002448,13040.144304833684,13039.654090524731,42,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xb20bd5d04be54f870d5c0d3ca85d82b34b836405,0x6b175474e89094c44da98b954eedeac495271d0f,0xdac17f958d2ee523a2206206994597c13d831ec7
8,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-09,1.002411496935791,1.004406426173733,0.9961885545063646,1.003826475518673,8053.237571609767,8066.994420336841,28,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xb20bd5d04be54f870d5c0d3ca85d82b34b836405,0x6b175474e89094c44da98b954eedeac495271d0f,0xdac17f958d2ee523a2206206994597c13d831ec7
9,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-10,0.9977123490972252,1.0432446734746808,0.997688353498696,0.9987765597973456,228442.31376467764,230579.50216848447,42,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xb20bd5d04be54f870d5c0d3ca85d82b34b836405,0x6b175474e89094c44da98b954eedeac495271d0f,0xdac17f958d2ee523a2206206994597c13d831ec7
10,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-11,0.9986024743480472,1.0037950028263094,0.9972083860662766,0.9972083860662766,3781.635522338682,3778.6236853421055,35,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xb20bd5d04be54f870d5c0d3ca85d82b34b836405,0x6b175474e89094c44da98b954eedeac495271d0f,0xdac17f958d2ee523a2206206994597c13d831ec7
