,type,timestamp,open,high,low,close,volume,quoteVolume,trades,exchangeId,pairAddress,baseAddress,quoteAddress
0,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-01,0.0007687366916187,0.0007930729725821,0.0007687366916187,0.0007856024777529,3047685.974245,2374.260773434741,2718,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
1,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-02,0.000780887944181,0.0007910506149586,0.0007708633025453,0.0007756944442906,2730469.966384,2128.7401259364615,2319,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-03,0.0007763838817491,0.0008333333333333,0.0007653727086031,0.0008082052715538,2775995.359341,2209.20317234934,2205,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
3,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-04,0.0008082063521466,0.0008082821991276,0.0007783028518372,0.0007831088312599,2420776.857099,1923.246835383968,1890,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
4,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-05,0.0007831126582748,0.000801981734648,0.0006087571447537,0.000792048583611,15582574.583106,11632.002834417468,2370,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
5,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-06,0.0007920442213009,0.0008048608597035,0.0007845929027921,0.0007896140445316,2441565.037192,1935.6190643463328,2168,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
6,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-07,0.0007896426964422,0.001,0.0007835325448412,0.0008098871151138,2954344.467795,2498.6828892070325,2675,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
7,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-08,0.0008147935484422,0.0008176248612573,0.0007728837164879,0.000777688188123,3503083.728041,2787.570394143356,2580,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
8,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-09,0.0007776758511147,0.0007959723375202,0.0007716273306325,0.0007900666986537,2539746.882064,1990.7439055423467,2382,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
9,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-10,0.0007948271117222,0.0007948465646075,0.0007792793822849,0.0007918314706842,1289067.565561,1018.6162046115912,1758,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
