,exchangeId_x,feesNative,feesUSD,liquidityTotalNative,liquidityTotalUSD,volumeTotalUSD,volumeTotalNative,pairsTradedTotal,tradesTotal,timestamp_x,index,type,timestamp_y,open,high,low,close,volume,quoteVolume,trades,exchangeId_y,pairAddress,baseAddress,quoteAddress
0,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,944.0833482521732,944.5040591132522,6602283.261090031,13201364.35169207,314834.68637108407,314694.4494173911,1,251,2022-12-01,2022-12-01,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-01,0.0007684095509861,0.0007910890588637,0.0007684095509861,1281.4370419411239,314694.4494173911,244.53977659003613,251,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
1,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,1166.7118888443845,1168.8971902078954,6638993.257014927,13302774.840489447,389632.3967359651,388903.9629481282,1,219,2022-12-02,2022-12-02,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-02,0.0007803238871547,0.0007940202385075,0.0007709510476344,1296.2619817269397,388903.9629481282,303.0285394070056,219,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,697.983744701151,697.9608413537425,6501850.886373195,13013401.606955022,232653.6137845808,232661.248233717,1,227,2022-12-03,2022-12-03,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-03,0.0007710925114807,0.0008090960092382,0.0007664233867422,1243.4017809133586,232661.248233717,183.27059093137728,227,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
3,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,765.2408931533073,765.0097015011829,6607151.149189954,13212780.636956882,255003.23383372763,255080.2977177691,1,198,2022-12-04,2022-12-04,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-04,0.0008042359967389,0.0008042359967389,0.000778881569797,1276.237947516397,255080.2977177691,202.2089439267086,198,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
4,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,1054.9692467732618,1056.64895540796,6536734.214556736,13097333.873927116,352216.31846932,351656.41559108725,1,307,2022-12-05,2022-12-05,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-05,0.000783553695397,0.0294117647058823,0.0007664934788693,1260.9227489378077,351656.41559108725,2791.701984559115,307,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
5,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,1704.6502416953033,1704.2296774903816,6569508.125932393,13136816.905372033,568076.5591634605,568216.7472317676,1,226,2022-12-06,2022-12-06,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-06,0.0007929794170374,0.0008041369820642,0.0007664424063181,1273.3881847666007,568216.7472317676,447.30949826310007,226,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
6,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,855.9174301880173,856.0056894512022,6466924.776868483,12940593.777530797,285335.2298170674,285305.8100626724,1,443,2022-12-07,2022-12-07,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-07,0.0007846579345464,0.0008188141730733,0.0007827479525834,1234.587561790609,285305.8100626724,227.9741183077104,443,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
7,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,953.2381066715948,953.762798082507,6604209.0621913215,13203226.025490312,317920.932694169,317746.03555719816,1,253,2022-12-08,2022-12-08,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-08,0.0008146401100713,0.0008168013484086,4.59763809041e-05,1285.766901143105,317746.03555719816,195.02964017959968,253,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
8,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,797.5111371271695,797.5671904989301,6552867.166705022,13113356.91638314,265855.73016631004,265837.0457090565,1,188,2022-12-09,2022-12-09,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-09,0.0007824130707626,0.0007956261216046,0.0007727822010918,1265.6609352718199,265837.0457090565,208.74338401243364,188,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
9,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,351.53106082543786,351.46075461327274,6567923.103874644,13128444.306173608,117153.58487109092,117177.02027514594,1,156,2022-12-10,2022-12-10,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-10,0.0007950724933612,0.0007955689635758,0.0007797134592303,1263.9141602312932,117177.02027514594,92.61519022994288,156,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
