,timestamp,datetime,pool_price,signal,holder_eth_amount,holder_usdc_amount,lp_eth_amount,lp_usdc_amount,liquidity,fee_eth_amount,fee_usdc_amount,status,trade_num
3790,1641119257,2022/1/2 05:27,3760.697547,,0.0,0.0,1.3449599111593824,5057.987438710427,6802.790336213248,0.0,0.001767545888967691,1,1.0
3791,1641119257,2022/1/2 05:27,3759.977339,,0.0,0.0,1.345088715726478,5057.503090076169,6802.790336213248,3.875764305782936e-07,0.0,1,1.0
3792,1641119276,2022/1/2 05:27,3760.686532,,0.0,0.0,1.3449618808426367,5057.980031338293,6802.790336213248,0.0,0.001435129173892315,1,1.0
3793,1641119276,2022/1/2 05:27,3760.700881,,0.0,0.0,1.344959314980973,5057.989680758103,6802.790336213248,0.0,2.9035365525520417e-05,1,1.0
3794,1641119377,2022/1/2 05:29,3760.511654,,0.0,0.0,1.3449931533835873,5057.86242784919,6802.790336213248,1.0182066985207367e-07,0.0,1,1.0
3795,1641119377,2022/1/2 05:30,3760.511654,,0.0,0.0,1.3449931533835873,5057.86242784919,6802.790336213248,0.0,0.0,1,1.0
3796,1641119453,2022/1/2 05:30,3760.336156,,0.0,0.0,1.3450245389891047,5057.744404667961,6802.790336213248,9.444013696311597e-08,0.0,1,1.0
3797,1641119453,2022/1/2 05:30,3760.511387,,0.0,0.0,1.3449932011315036,5057.8622482926,6802.790336213248,0.0,0.0003545946578910803,1,1.0
3798,1641119618,2022/1/2 05:33,3760.95941,,0.0,0.0,1.3449130878186364,5058.163533263657,6802.790336213248,0.0,0.0009065746370813516,1,1.0
3799,1641119643,2022/1/2 05:34,3761.247523,,0.0,0.0,1.3448615764035012,5058.357273025544,6802.790336213248,0.0,0.0005829681902308467,1,1.0
3800,1641119650,2022/1/2 05:34,3761.18443,,0.0,0.0,1.3448728562273415,5058.314847171905,6802.790336213248,3.394129540713479e-08,0.0,1,1.0
3801,1641119669,2022/1/2 05:34,3761.291487,,0.0,0.0,1.3448537166474408,5058.3868356863295,6802.790336213248,0.0,0.0002166153894416666,1,1.0
